dot_values,colour_values,participant,response,response_time,date,correct_response,answered_correctly
1.0,Red,110,m,0.29988694191,2016_Aug_16_1429,m,1
8.0,Green,110,m,0.219949960709,2016_Aug_16_1429,m,1
6.0,Purple,110,m,0.212153911591,2016_Aug_16_1429,m,1
5.0,Orange,110,m,0.179895162582,2016_Aug_16_1429,m,1
7.0,DarkGray,110,m,0.172077178955,2016_Aug_16_1429,m,1
,,110,z,0.420207023621,2016_Aug_16_1429,z,1
3.0,Blue,110,m,0.11604309082,2016_Aug_16_1429,m,1
1.0,Red,110,m,0.0601148605347,2016_Aug_16_1429,m,1
8.0,Green,110,m,0.388039112091,2016_Aug_16_1429,m,1
6.0,Yellow,110,m,0.188005924225,2016_Aug_16_1429,m,1
,,110,m,0.180110931396,2016_Aug_16_1429,z,0
9.0,LightPink,110,m,0.283978939056,2016_Aug_16_1429,m,1
2.0,Brown,110,m,0.148024082184,2016_Aug_16_1429,m,1
4.0,Purple,110,m,0.0356879234314,2016_Aug_16_1429,m,1
5.0,Orange,110,m,0.0917930603027,2016_Aug_16_1429,m,1
7.0,DarkGray,110,m,0.292057991028,2016_Aug_16_1429,m,1
3.0,Blue,110,m,0.29204916954,2016_Aug_16_1429,m,1
1.0,Red,110,m,0.275839090347,2016_Aug_16_1429,m,1
8.0,Green,110,m,0.211850881577,2016_Aug_16_1429,m,1
,,110,m,0.195770978928,2016_Aug_16_1429,z,0
6.0,Purple,110,m,0.331945180893,2016_Aug_16_1429,m,1
5.0,Orange,110,m,0.147660970688,2016_Aug_16_1429,m,1
7.0,DarkGray,110,m,0.299612998962,2016_Aug_16_1429,m,1
3.0,Blue,110,m,0.291907072067,2016_Aug_16_1429,m,1
1.0,Red,110,m,0.299806833267,2016_Aug_16_1429,m,1
8.0,Green,110,m,0.291844129562,2016_Aug_16_1429,m,1
6.0,Yellow,110,m,0.299518108368,2016_Aug_16_1429,m,1
,,110,z,0.363953113556,2016_Aug_16_1429,z,1
9.0,LightPink,110,m,0.155924081802,2016_Aug_16_1429,m,1
,,110,z,0.555835962296,2016_Aug_16_1429,z,1
2.0,Brown,110,m,0.307879924774,2016_Aug_16_1429,m,1
4.0,Blue,110,m,0.3077480793,2016_Aug_16_1429,m,1
5.0,Red,110,m,0.259500026703,2016_Aug_16_1429,m,1
7.0,Green,110,m,0.267771959305,2016_Aug_16_1429,m,1
,,110,m,0.16396021843,2016_Aug_16_1429,z,0
3.0,Yellow,110,m,0.139708042145,2016_Aug_16_1429,m,1
1.0,LightPink,110,,,2016_Aug_16_1429,m,0
8.0,Brown,110,m,0.267501115799,2016_Aug_16_1429,m,1
6.0,Blue,110,m,0.259485006332,2016_Aug_16_1429,m,1
5.0,Red,110,m,0.243429899216,2016_Aug_16_1429,m,1
7.0,Green,110,m,0.267420053482,2016_Aug_16_1429,m,1
,,110,z,0.267664194107,2016_Aug_16_1429,z,1
3.0,Yellow,110,m,0.483281850815,2016_Aug_16_1429,m,1
1.0,LightPink,110,m,0.24355006218,2016_Aug_16_1429,m,1
8.0,Brown,110,m,0.451653003693,2016_Aug_16_1429,m,1
6.0,Purple,110,m,0.259412765503,2016_Aug_16_1429,m,1
9.0,Orange,110,m,0.267547130585,2016_Aug_16_1429,m,1
2.0,DarkGray,110,m,0.299736022949,2016_Aug_16_1429,m,1
4.0,Yellow,110,m,0.219357967377,2016_Aug_16_1429,m,1
1.0,LightPink,110,m,0.219449996948,2016_Aug_16_1429,m,1
8.0,Brown,110,m,0.123320817947,2016_Aug_16_1429,m,1
6.0,Blue,110,m,0.251430988312,2016_Aug_16_1429,m,1
5.0,Red,110,m,0.235394954681,2016_Aug_16_1429,m,1
7.0,Green,110,m,0.283191919327,2016_Aug_16_1429,m,1
3.0,Yellow,110,m,0.251523017883,2016_Aug_16_1429,m,1
1.0,LightPink,110,m,0.211525917053,2016_Aug_16_1429,m,1
8.0,Brown,110,m,0.291162014008,2016_Aug_16_1429,m,1
,,110,z,0.395169973373,2016_Aug_16_1429,z,1
6.0,Purple,110,m,0.219513893127,2016_Aug_16_1429,m,1
